dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-11-16,11,1,3C,Стиральный порошок,Бытовая химия,1,422,0
2025-11-16,11,1,8Z,Комплект белья,Текстиль,3,491,5
2025-11-16,11,1,7Z,Кукла,Детские товары,1,194,10
2025-11-16,11,1,3R,Подушка,Текстиль,1,108,0
2025-11-16,11,1,5R,Макароны,Бакалея,2,193,10
2025-11-16,11,1,8U,Подушка,Текстиль,1,90,5
2025-11-16,11,1,7Z,Книга,Детские товары,2,200,10
2025-11-16,11,1,3V,Одеяло,Текстиль,1,48,0
2025-11-16,11,1,7H,Пятновыводитель,Бытовая химия,2,135,10
2025-11-16,11,1,7L,Крупы,Бакалея,1,122,10
2025-11-16,11,1,8Z,Холодный чай,Напитки,3,361,0
2025-11-16,11,1,5R,Сок,Напитки,1,301,0
2025-11-16,11,1,7Z,Пятновыводитель,Бытовая химия,2,206,0
2025-11-16,11,1,8F,Соус,Бакалея,1,89,0
2025-11-16,11,1,3R,Морс,Напитки,1,363,5
2025-11-16,11,1,3V,Соус,Бакалея,1,150,5
2025-11-16,11,1,7L,Кукла,Детские товары,1,356,0
2025-11-16,11,1,4I,Книга,Детские товары,1,442,0
2025-11-16,11,1,8F,Холодный чай,Напитки,1,279,0
2025-11-16,11,1,7H,Крупы,Бакалея,2,201,10
2025-11-16,11,1,8F,Мыло,Бытовая химия,1,79,5
2025-11-16,11,1,7R,Подушка,Текстиль,1,322,0
2025-11-16,11,1,3I,Масло,Бакалея,2,485,10
2025-11-16,11,1,7H,Мыло,Бытовая химия,1,256,0
2025-11-16,11,1,6H,Кукла,Детские товары,3,293,5
