dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-11-16,38,2,4N,Кукла,Детские товары,1,342,0
2025-11-16,38,2,8P,Машинка,Детские товары,1,351,0
2025-11-16,38,2,4N,Сок,Напитки,2,444,5
2025-11-16,38,2,4G,Комплект белья,Текстиль,2,356,10
2025-11-16,38,2,1N,Вода,Напитки,3,117,0
2025-11-16,38,2,0M,Книга,Детские товары,1,159,0
2025-11-16,38,2,4N,Одеяло,Текстиль,2,294,0
2025-11-16,38,2,2A,Сок,Напитки,3,95,5
2025-11-16,38,2,4G,Сок,Напитки,2,349,5
2025-11-16,38,2,4O,Отбеливатель,Бытовая химия,1,201,0
2025-11-16,38,2,9E,Полотенце,Текстиль,2,140,0
2025-11-16,38,2,7U,Одеяло,Текстиль,2,68,10
2025-11-16,38,2,9E,Машинка,Детские товары,2,310,10
2025-11-16,38,2,2A,Пазлы,Детские товары,2,214,0
2025-11-16,38,2,0Q,Макароны,Бакалея,2,258,10
2025-11-16,38,2,1V,Книга,Детские товары,1,298,0
2025-11-16,38,2,4O,Одеяло,Текстиль,4,266,10
2025-11-16,38,2,0P,Машинка,Детские товары,3,198,0
2025-11-16,38,2,1N,Холодный чай,Напитки,2,200,5
2025-11-16,38,2,4O,Книга,Детские товары,3,373,5
2025-11-16,38,2,4G,Книга,Детские товары,1,384,0
2025-11-16,38,2,1N,Крупы,Бакалея,1,375,5
2025-11-16,38,2,8P,Соус,Бакалея,2,261,5
2025-11-16,38,2,2M,Отбеливатель,Бытовая химия,1,381,0
2025-11-16,38,2,9E,Отбеливатель,Бытовая химия,1,322,5
