dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-11-16,21,1,6L,Мыло,Бытовая химия,5,329,0
2025-11-16,21,1,4Z,Комплект белья,Текстиль,1,221,5
2025-11-16,21,1,6L,Масло,Бакалея,2,372,10
2025-11-16,21,1,9T,Машинка,Детские товары,1,208,5
2025-11-16,21,1,0M,Пятновыводитель,Бытовая химия,2,476,10
2025-11-16,21,1,3V,Пятновыводитель,Бытовая химия,3,153,0
2025-11-16,21,1,1I,Макароны,Бакалея,1,451,0
2025-11-16,21,1,2D,Макароны,Бакалея,1,141,0
2025-11-16,21,1,6L,Одеяло,Текстиль,5,446,0
2025-11-16,21,1,4Z,Отбеливатель,Бытовая химия,1,485,0
2025-11-16,21,1,5Q,Книга,Детские товары,1,377,5
2025-11-16,21,1,5M,Холодный чай,Напитки,3,371,5
2025-11-16,21,1,6L,Соус,Бакалея,2,117,0
2025-11-16,21,1,3C,Макароны,Бакалея,1,440,10
2025-11-16,21,1,4A,Одеяло,Текстиль,5,437,0
2025-11-16,21,1,4A,Соус,Бакалея,1,294,5
2025-11-16,21,1,1I,Машинка,Детские товары,1,378,5
2025-11-16,21,1,2D,Одеяло,Текстиль,2,317,5
2025-11-16,21,1,2D,Соус,Бакалея,3,148,0
2025-11-16,21,1,3C,Пятновыводитель,Бытовая химия,1,105,10
2025-11-16,21,1,6R,Отбеливатель,Бытовая химия,3,356,0
2025-11-16,21,1,3C,Комплект белья,Текстиль,5,462,5
2025-11-16,21,1,8I,Соус,Бакалея,1,446,0
2025-11-16,21,1,0M,Книга,Детские товары,1,12,0
2025-11-16,21,1,4Z,Полотенце,Текстиль,3,240,0
