dt,shop_num,cash_num,doc_id,item,category,amount,price,discount
2025-11-16,38,1,5X,Книга,Детские товары,2,332,0
2025-11-16,38,1,2M,Подушка,Текстиль,4,104,5
2025-11-16,38,1,5X,Книга,Детские товары,1,208,5
2025-11-16,38,1,1L,Стиральный порошок,Бытовая химия,1,382,5
2025-11-16,38,1,1T,Машинка,Детские товары,1,246,0
2025-11-16,38,1,5O,Пятновыводитель,Бытовая химия,1,38,5
2025-11-16,38,1,5L,Пятновыводитель,Бытовая химия,1,494,0
2025-11-16,38,1,3A,Комплект белья,Текстиль,4,466,0
2025-11-16,38,1,3A,Масло,Бакалея,5,393,0
2025-11-16,38,1,0O,Мыло,Бытовая химия,1,151,5
2025-11-16,38,1,2M,Вода,Напитки,2,154,0
2025-11-16,38,1,5O,Морс,Напитки,2,268,0
2025-11-16,38,1,5C,Пазлы,Детские товары,1,257,0
2025-11-16,38,1,5V,Одеяло,Текстиль,1,111,0
2025-11-16,38,1,5O,Макароны,Бакалея,2,178,10
2025-11-16,38,1,0F,Подушка,Текстиль,1,363,0
2025-11-16,38,1,5X,Мыло,Бытовая химия,1,224,0
2025-11-16,38,1,9A,Кукла,Детские товары,2,74,0
2025-11-16,38,1,4R,Пятновыводитель,Бытовая химия,3,329,10
2025-11-16,38,1,5X,Соус,Бакалея,1,362,0
2025-11-16,38,1,3Q,Пятновыводитель,Бытовая химия,1,240,0
2025-11-16,38,1,5C,Макароны,Бакалея,2,135,0
2025-11-16,38,1,4R,Пазлы,Детские товары,4,326,5
2025-11-16,38,1,9H,Стиральный порошок,Бытовая химия,2,482,5
2025-11-16,38,1,7N,Холодный чай,Напитки,3,411,5
